ID,x,y,說明
1373,121.027721,24.819589,a
1374,121.014583,24.82508,b
1375,121.018638,24.835012,a
1376,121.014583,24.82508,b
1377,121.026932,24.83028,a
1378,121.006667,24.836178,b
1379,121.015381,24.82608,a
1380,121.010421,24.829044,b
1381,121.030232,24.809168,a
1382,121.014583,24.82508,b
1383,121.010421,24.829044,a
1384,121.013294,24.838627,b
1385,121.019978,24.829536,a
1386,120.999391,24.837008,b
1387,121.014479,24.824446,a
1388,121.007673,24.834636,b
1389,121.009634,24.837647,a
1390,121.017897,24.831158,b
1391,121.014479,24.824446,a
1392,121.017897,24.831158,b
1393,121.050568,24.771985,a
1394,121.015381,24.82608,b
1395,121.009036,24.819551,a
1396,121.056156,24.79509,b
1397,121.015381,24.82608,a
1398,121.015381,24.82608,b
1399,121.013806,24.843643,a
1400,121.010427,24.83883,b
1401,120.999217,24.831328,a
1402,121.002592,24.840047,b
1403,121.015047,24.827782,a
1404,121.015381,24.82608,b
1405,121.014479,24.824446,a
1406,120.999391,24.837008,b
1407,121.014583,24.82508,a
1408,121.027364,24.810647,b
1409,121.017815,24.833736,a
1410,120.999391,24.837008,b
1411,121.015381,24.82608,a
1412,121.011836,24.835235,b
1413,121.012496,24.830096,a
1414,121.015381,24.82608,b
1415,121.016593,24.83019,a
1416,121.011328,24.833678,b
1417,121.024113,24.821588,a
1418,121.015381,24.82608,b
1419,121.00861,24.824871,a
1420,121.014583,24.82508,b
1421,121.019813,24.83575,a
1422,121.006409,24.828649,b
1423,121.015047,24.827782,a
1424,121.015381,24.82608,b
1425,121.007271,24.828991,a
1426,121.018271,24.834778,b
1427,121.018271,24.834778,a
1428,121.015381,24.82608,b
1429,121.018151,24.829541,a
1430,121.018996,24.840974,b
1431,121.018151,24.829541,a
1432,121.006661,24.831349,b
1433,121.015381,24.82608,a
1434,121.002088,24.827722,b
1435,121.015381,24.82608,a
1436,121.007271,24.828991,b
1437,121.02383,24.813131,a
1438,121.015381,24.82608,b
1439,121.025752,24.823676,a
1440,121.015381,24.82608,b
1441,121.017231,24.826395,a
1442,121.002088,24.827722,b
1443,121.003214,24.829842,a
1444,121.015381,24.82608,b
1445,121.015381,24.82608,a
1446,121.002029,24.828423,b
1447,121.018151,24.829541,a
1448,121.002088,24.827722,b
1449,121.008909,24.828419,a
1450,121.021774,24.809257,b
1451,121.002394,24.831582,a
1452,121.025752,24.823676,b
1453,121.029447,24.820116,a
1454,121.030232,24.809168,b
1455,121.029013,24.819708,a
1456,121.018996,24.840974,b
1457,121.032419,24.807013,a
1458,121.010421,24.829044,b
1459,121.015381,24.82608,a
1460,121.002592,24.840047,b
1461,121.009406,24.825231,a
1462,121.006755,24.832167,b
1463,121.009134,24.830272,a
1464,121.008431,24.829548,b
1465,121.008579,24.836105,a
1466,121.015381,24.82608,b
1467,121.002394,24.831582,a
1468,121.014583,24.82508,b
1469,121.015047,24.827782,a
1470,121.015047,24.827782,b
1471,121.018151,24.829541,a
1472,121.017815,24.833736,b
1473,121.010421,24.829044,a
1474,121.008909,24.828419,b
1475,121.015381,24.82608,a
1476,121.016217,24.829576,b
1477,121.016217,24.829576,a
1478,121.006755,24.832167,b
1479,121.015381,24.82608,a
1480,121.010678,24.822454,b
1481,121.007391,24.831522,a
1482,121.010421,24.829044,b
1483,121.0147,24.82101,a
1484,121.026932,24.83028,b
1485,121.025689,24.826549,a
1486,121.033839,24.822889,b
1487,121.028782,24.826351,a
1488,121.028513,24.82592,b
1489,121.026405,24.828812,a
1490,121.027394,24.830361,b
1491,121.025958,24.830661,a
1492,121.015381,24.82608,b
1493,121.026555,24.82808,a
1494,120.975612,24.840798,b
1495,121.032016,24.824812,a
1496,120.948792,24.850886,b
1497,120.955187,24.847669,a
1498,120.990447,24.833147,b
1499,121.007081,24.828808,a
1500,121.0304,24.817439,b
1501,121.019758,24.846439,a
1502,120.965154,24.842968,b
1503,120.999226,24.850393,a
1504,121.011328,24.833678,b
1505,120.983584,24.853502,a
1506,120.975902,24.844293,b
1507,120.967631,24.847794,a
1508,121.011836,24.835235,b
